% Date and time of this run: 10-Feb-2005 00:18:25
% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%error bar	freq (Hz)	sens integrand
3.533831e-04	1.370000e+02	2.727115e+04
3.533831e-04	1.372500e+02	2.673214e+04
3.533831e-04	1.375000e+02	2.556261e+04
3.533831e-04	1.377500e+02	2.544444e+04
3.533831e-04	1.380000e+02	2.649166e+04
3.533831e-04	1.382500e+02	2.473127e+04
3.533831e-04	1.385000e+02	2.670876e+04
3.533831e-04	1.387500e+02	2.669333e+04
3.533831e-04	1.390000e+02	2.649277e+04
3.533831e-04	1.392500e+02	2.537210e+04
3.533831e-04	1.395000e+02	2.465214e+04
3.533831e-04	1.397500e+02	2.553974e+04
3.533831e-04	1.400000e+02	2.521702e+04
3.533831e-04	1.402500e+02	2.479602e+04
3.533831e-04	1.405000e+02	2.461542e+04
3.533831e-04	1.407500e+02	2.437613e+04
3.533831e-04	1.410000e+02	2.417497e+04
3.533831e-04	1.412500e+02	2.381903e+04
3.533831e-04	1.415000e+02	2.337977e+04
3.533831e-04	1.417500e+02	2.323493e+04
3.533831e-04	1.420000e+02	2.286035e+04
3.533831e-04	1.422500e+02	2.263209e+04
3.533831e-04	1.425000e+02	2.225343e+04
3.533831e-04	1.427500e+02	1.949791e+04
3.533831e-04	1.430000e+02	1.018811e+04
3.533831e-04	1.432500e+02	1.027450e+04
3.533831e-04	1.435000e+02	1.975543e+04
3.533831e-04	1.437500e+02	2.039513e+04
3.533831e-04	1.440000e+02	0.000000e+00
3.533831e-04	1.442500e+02	1.924345e+04
3.533831e-04	1.445000e+02	1.795726e+04
3.533831e-04	1.447500e+02	1.681245e+04
3.533831e-04	1.450000e+02	1.657115e+04
3.533831e-04	1.452500e+02	1.779106e+04
3.533831e-04	1.455000e+02	1.806124e+04
3.533831e-04	1.457500e+02	1.788195e+04
3.533831e-04	1.460000e+02	1.747198e+04
3.533831e-04	1.462500e+02	1.701521e+04
3.533831e-04	1.465000e+02	1.664994e+04
3.533831e-04	1.467500e+02	1.607931e+04
3.533831e-04	1.470000e+02	1.540142e+04
3.533831e-04	1.472500e+02	1.463412e+04
3.533831e-04	1.475000e+02	1.376969e+04
3.533831e-04	1.477500e+02	1.367493e+04
3.533831e-04	1.480000e+02	1.361241e+04
3.533831e-04	1.482500e+02	1.316815e+04
3.533831e-04	1.485000e+02	1.253711e+04
3.533831e-04	1.487500e+02	0.000000e+00
3.533831e-04	1.490000e+02	1.065651e+04
3.533831e-04	1.492500e+02	9.939539e+03
3.533831e-04	1.495000e+02	9.987533e+03
3.533831e-04	1.497500e+02	9.250098e+03
3.533831e-04	1.500000e+02	8.454155e+03
3.533831e-04	1.502500e+02	7.860872e+03
3.533831e-04	1.505000e+02	6.874454e+03
3.533831e-04	1.507500e+02	4.434337e+03
3.533831e-04	1.510000e+02	6.838999e+01
3.533831e-04	1.512500e+02	8.907660e+00
3.533831e-04	1.515000e+02	1.926666e+01
3.533831e-04	1.517500e+02	2.214313e+03
