% Date and time of this run: 09-Feb-2005 23:55:14
% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%error bar	freq (Hz)	pt est int (re)	pt est int (im)
3.533831e-04	1.457500e+02	-5.185861e-06	1.415650e-05
3.533831e-04	1.460000e+02	-1.094314e-05	-1.796196e-05
3.533831e-04	1.462500e+02	-9.346435e-07	-1.067572e-05
3.533831e-04	1.465000e+02	-7.557409e-06	-2.164865e-06
3.533831e-04	1.467500e+02	1.820721e-06	-9.936330e-06
3.533831e-04	1.470000e+02	2.598730e-05	-9.481996e-06
3.533831e-04	1.472500e+02	-1.138498e-06	1.769957e-07
3.533831e-04	1.475000e+02	3.854271e-06	9.030293e-06
3.533831e-04	1.477500e+02	1.040463e-05	2.239014e-05
3.533831e-04	1.480000e+02	-1.901404e-05	-1.988949e-05
3.533831e-04	1.482500e+02	-1.097743e-05	9.501157e-06
3.533831e-04	1.485000e+02	3.119566e-06	1.414818e-05
3.533831e-04	1.487500e+02	0.000000e+00	0.000000e+00
3.533831e-04	1.490000e+02	3.493169e-06	-5.755309e-06
3.533831e-04	1.492500e+02	-7.513891e-06	-1.758610e-05
3.533831e-04	1.495000e+02	-1.430516e-05	-2.656156e-05
3.533831e-04	1.497500e+02	4.639501e-07	2.592759e-05
3.533831e-04	1.500000e+02	-1.456226e-05	-1.005535e-06
3.533831e-04	1.502500e+02	1.333539e-05	-7.440383e-06
3.533831e-04	1.505000e+02	2.944820e-06	1.454086e-05
3.533831e-04	1.507500e+02	-1.069527e-06	-3.164891e-06
3.533831e-04	1.510000e+02	-1.685534e-07	4.850917e-08
3.533831e-04	1.512500e+02	1.460735e-07	1.225942e-07
3.533831e-04	1.515000e+02	-8.184943e-09	6.879969e-09
3.533831e-04	1.517500e+02	3.540217e-06	3.692036e-06
3.533831e-04	1.520000e+02	2.138292e-06	7.420293e-06
